"","Finished","consent","gender","age","residence","education","COVID_sev_general","COVID_pers_harm","COVID_pers_concern","COVID_concern4others","COVID_positive_1","COVID_positive_2","COVID_ndays_lockdown","COVID_lost_job","COVID_info_source","attention_check","app_uptake1","is_accceptable1","participant_benefit","reduce_lik_sev","return_activ_mild","return_activ_sev","reduce_spread_mild","reduce_spread_severe","ability_mild","decline_participate","proportionality","sensitivity","risk_of_harm","trust_intentions","trust_respectprivacy","data_security","ongoing_control","app_uptake2","sunset_app","data_local","is_acceptable2","sunset","opt_out","fm_unres_best","fm_limited","lim_gov","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","scenario_type"
"936",1,5,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"937",1,5,1,18,1,5,4,1,2,4,0,0,15,0,"1,2,3,5",2,0,NA,2,NA,2,NA,2,NA,2,4,3,4,4,4,4,4,4,0,0,0,NA,NA,NA,4,4,4,2,2,2,1,3,4,"mild"
"938",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"939",1,5,1,70,6,2,5,5,5,5,0,0,25,0,"1,3,4,5",1,1,NA,6,NA,5,NA,4,NA,3,6,6,6,1,5,6,4,2,1,NA,NA,NA,NA,NA,4,4,1,1,1,1,1,1,1,"mild"
"940",1,5,2,87,3,5,4,4,5,4,1,1,35,1,"2",1,NA,0,NA,5,NA,4,NA,5,NA,2,5,5,5,5,5,3,5,NA,NA,NA,1,NA,NA,NA,4,5,1,2,2,2,2,3,"severe"
"941",1,5,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"942",1,5,1,68,2,3,4,5,5,5,0,0,10,0,"1,4,5",1,NA,1,NA,5,NA,5,NA,5,NA,2,6,5,2,6,6,6,2,NA,NA,NA,1,NA,NA,4,5,4,2,1,3,1,1,1,"severe"
"943",1,5,1,18,1,3,4,2,3,4,0,0,30,0,"2,3,5",1,NA,1,NA,4,NA,4,NA,3,NA,3,3,5,6,2,2,3,1,NA,NA,NA,0,1,1,4,5,5,2,3,3,4,4,2,"severe"
"944",1,5,1,22,3,3,3,2,2,3,0,0,25,0,"2",1,NA,1,NA,2,NA,3,NA,3,NA,4,4,3,3,2,3,3,3,NA,NA,NA,0,1,1,4,4,6,2,3,4,3,3,2,"severe"
"945",1,5,2,21,3,3,4,3,3,4,0,0,21,1,"2,4",1,1,NA,4,NA,4,NA,3,NA,4,6,4,6,5,2,2,1,2,1,NA,NA,NA,NA,NA,2,5,4,2,3,3,4,4,2,"mild"
"946",1,5,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"947",1,5,1,58,3,2,4,3,2,4,0,0,0,0,"4,5",1,0,NA,2,NA,1,NA,2,NA,1,6,1,6,5,1,1,1,2,1,NA,NA,NA,NA,NA,1,3,3,4,4,4,4,1,4,"mild"
"948",1,5,1,67,3,1,4,4,3,3,0,0,0,0,"1,2,3,4,5",1,NA,0,NA,3,NA,4,NA,3,NA,3,4,4,3,4,4,3,3,NA,NA,NA,0,1,1,5,4,5,2,3,3,3,3,3,"severe"
"949",1,5,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"950",1,5,2,20,1,2,5,3,4,4,0,1,9,0,"3",4,1,NA,3,NA,3,NA,3,NA,3,4,3,4,4,3,4,4,4,1,NA,NA,NA,NA,NA,4,5,5,2,3,3,3,2,3,"mild"
"951",1,5,1,22,1,3,3,3,2,4,1,1,27,0,"1,2,3,4,5,6",2,NA,0,NA,4,NA,4,NA,3,NA,3,4,4,4,4,4,5,5,NA,NA,NA,0,0,0,5,5,3,1,1,1,1,1,1,"severe"
"952",1,5,2,22,6,3,4,2,1,3,0,0,14,1,"1,2,3,4,5",1,1,NA,3,NA,4,NA,4,NA,3,5,4,4,3,4,4,4,4,1,NA,NA,NA,NA,NA,5,7,5,3,2,3,3,3,3,"mild"
"953",1,5,1,24,7,3,4,3,1,1,0,0,0,0,"1,2,3",4,NA,1,NA,2,NA,3,NA,4,NA,4,3,3,1,1,1,6,2,NA,NA,NA,1,NA,NA,2,4,6,1,2,2,2,4,3,"severe"
"954",1,5,2,20,6,NA,4,3,2,3,0,0,8,0,"3",4,NA,1,NA,2,NA,1,NA,2,NA,3,4,3,4,3,4,4,2,NA,NA,NA,0,1,1,2,4,4,2,2,2,2,3,1,"severe"
"955",1,5,1,20,1,3,4,3,5,5,0,1,23,1,"2,3,4,5",1,NA,1,NA,3,NA,5,NA,5,NA,2,4,3,6,5,6,3,6,NA,NA,NA,1,NA,NA,5,5,7,1,2,1,3,2,1,"severe"
"956",1,5,1,66,3,2,5,5,5,4,0,0,0,0,"1,4,5",1,NA,1,NA,5,NA,5,NA,5,NA,2,6,5,5,6,5,6,4,NA,NA,NA,1,NA,NA,5,6,6,1,1,1,1,1,1,"severe"
"957",1,5,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"958",1,5,1,19,5,2,3,1,2,3,0,0,17,0,"2,5",1,NA,1,NA,3,NA,3,NA,5,NA,4,5,4,2,3,2,3,1,NA,NA,NA,1,NA,NA,3,6,4,1,2,3,2,3,1,"severe"
"959",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"960",1,5,3,22,2,5,3,2,2,3,0,1,14,1,"2,5,6",1,0,NA,2,NA,3,NA,2,NA,2,4,2,6,5,1,1,2,1,0,0,0,NA,NA,NA,4,4,6,3,3,4,4,4,3,"mild"
