"","duration","Finished","consent","gender","age","residence","education","smartphoneuse","COVID_pos","COVID_pos_others","COVID_probability_1","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_lost_job","COVID_info_source_1","COVID_info_source_2","COVID_info_source_3","COVID_info_source_4","COVID_info_source_5","COVID_info_source_6","COVID_info_source_7","COVID_info_trust_1","COVID_info_trust_2","COVID_info_trust_3","COVID_info_trust_4","COVID_info_trust_5","COVID_info_trust_6","Gov_understand","Gov_helpful","COVID_govresponse_1","COVID_govresponse_2","COVID_govresponse_3","COVID_govresponse_4","COVID_govresponse_5","COVID_govresponse_6","COVID_govresponse_7","COVID_govresponse_8","COVID_govresponse_9","COVID_govresponse_10","COVID_govresponse_11","COVID_govresponse_12","COVID_govresponse_13","COVID_govresponse_14","COVID_comply_pers","ahal_abst","ahal_hyg","ahal_mask","ahal_luft","COVID_comply_percent","RKI_technology","RKI_data_access","attention_check","RKI_download","RKI_download_time","RKI_left_installed","RKI_blutooth","RKI_friends_family","RKI_deinstalled","RKI_reasons_open","RKI_reasons","RKI_future_download","RKI_reasons_not_open","RKI_reasons_not_down","COVID_test","positive_upload","reasons_noup_open","reasons_noupload","upload_fut","noup_fut_reasons_op","noupload_reasons","RKI_prevalence_app","RKI_mandatory","noupload_reasons_all","upload_other_reasons","cwa_warn","cwa_warn_understand_1","cwa_warn_understand_2","cwa_warn_understand_3","cwa_green_wastun","cwa_red_wastun","cwa_understand_open","reduce_lik_bt","return_activ_past","return_activ_fut","reduce_spread_past","reduce_spread_fut","ability_bt","decline_part_bt","proportionality_bt","sensitivity_bt","risk_of_harm_bt","trust_intentions_bt","trust_respectpriv_bt","data_security_bt","ongoing_control","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","sci_betterlives","sci_nextgenopp","Conspir_1","Conspir_2","Conspir_3","Conspir_4","Conspir_5","Conspir_6_rev","Conspir_7","free_text"
"458",257,1,5,1,21,3,1,1,1,1,NA,NA,5,NA,3,1,3,3,3,2,2,5,2,5,2,2,4,3,3,2,3,3,3,2,4,2,3,2,4,2,3,5,3,4,2,2,3,3,2,4,50,1,"4",1,2,NA,NA,NA,NA,NA,NA,NA,0,"Kein Speicher ","4",NA,NA,NA,NA,NA,NA,NA,20,0,"4",NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,4,3,3,3,4,3,3,5,4,4,3,2,2,3,3,2,3,7,3,4,2,3,3,3,4,2,4,2,NA
"459",2020,1,5,1,33,6,3,1,0,0,50,2,3,2,4,0,4,4,3,2,4,2,2,3,1,2,2,3,4,4,1,1,2,4,5,2,3,4,5,4,5,3,4,4,3,2,3,3,4,2,60,2,"7",1,1,1,1,1,1,NA,"Sicherheit fï¿½ï¿½r sich und Umgeb","4",NA,NA,NA,3,NA,NA,NA,1,NA,NA,15,1,"5",NA,2,4,5,3,"1","2,3,12","Negative Ergebnisse werden werden nicht sichtbar bzw Ergebnis ist auch nicht sichtbar",1,1,2,2,4,5,6,4,4,1,5,5,3,3,3,2,2,2,1,1,3,5,3,6,6,1,3,1,2,2,5,2,NA
"460",591,1,5,1,33,7,2,1,0,0,2,1,3,1,1,0,3,2,3,4,4,2,2,4,2,4,5,3,2,2,1,3,3,3,3,2,2,3,3,4,4,2,4,1,3,2,4,4,3,2,30,1,"1,2,6",1,2,NA,NA,NA,NA,NA,NA,NA,0,"Finde es vollkommen ï¿½ï¿½bertri","2,4,5,10",NA,NA,NA,NA,NA,NA,NA,35,0,"2,5","Keine",NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,4,5,2,3,4,4,3,3,3,4,3,4,4,4,3,6,5,7,5,6,2,4,3,5,5,2,4,NA
"461",282,1,5,2,23,5,3,1,0,0,10,3,4,4,5,1,2,2,2,3,3,2,4,3,3,4,3,3,3,3,2,3,3,3,2,4,4,4,4,3,2,5,4,3,3,2,3,3,3,3,20,2,"6",1,1,2,0,NA,0,"5","Ich wollte auf dem laufenden gehalten und die zahlen im Auge haben ","5",NA,NA,NA,3,NA,NA,NA,1,NA,NA,40,1,"4",NA,NA,NA,NA,NA,NA,NA,"Nein ",3,5,3,4,3,5,3,3,5,3,4,3,3,2,2,3,2,3,3,1,4,4,3,5,2,2,4,2,3,3,4,3,NA
"462",1113,1,5,2,67,2,5,1,0,0,8,4,2,2,2,0,5,1,4,4,5,5,4,4,1,4,4,5,5,5,4,2,3,2,3,3,3,3,5,3,4,3,3,2,3,2,4,5,5,5,80,2,"2",1,1,2,1,1,0,NA,"Beim 1. Lockdown schien sich die Pandemie rasant auszubreiten. Ich wollte mich und andere schï¿½ï¿½t","2,3,4",NA,NA,NA,1,NA,NA,NA,1,NA,NA,80,0,"1,2,3",NA,2,5,5,5,"1,6","2,3,4,5,9,10","keine",2,3,3,3,3,5,6,6,1,1,6,6,6,6,4,2,2,2,3,2,6,2,6,5,5,1,1,1,1,1,5,1,NA
"463",1387,1,5,2,22,4,2,1,0,1,50,1,2,2,3,1,3,4,3,3,2,1,2,2,3,2,2,1,2,3,2,2,2,3,4,2,2,4,3,2,3,2,4,1,4,2,2,4,4,2,65,2,"2",1,2,NA,NA,NA,NA,NA,NA,NA,0,"Ich vertraue der App nicht und bin auch nicht davon ï¿½ï¿½berzeugt das sie h","1,2,4,9",NA,NA,NA,NA,NA,NA,NA,35,0,"1,6",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,6,2,5,4,2,1,3,2,4,4,4,4,4,4,5,5,6,3,5,2,3,2,4,5,2,3,NA
"464",686,1,5,2,26,5,2,1,0,0,40,2,3,2,3,0,1,2,3,3,4,4,1,4,3,4,4,4,4,4,4,3,2,2,4,3,2,3,3,3,3,3,3,4,3,2,4,5,5,5,90,4,"7",1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,70,0,"4,5,7",NA,NA,NA,NA,NA,NA,NA,"Nein",3,1,3,3,3,5,5,4,5,2,4,4,4,3,3,4,4,2,3,2,4,4,4,6,4,1,2,1,3,2,5,1,NA
"465",1153,1,5,2,19,5,2,1,0,0,70,5,4,4,4,0,3,2,4,4,4,4,4,4,3,4,4,4,4,5,4,4,2,2,5,4,4,5,4,4,4,2,4,4,4,3,4,4,5,3,50,2,"7",1,1,2,1,2,1,NA,"Es wurde uns von der Arbeit nahegelegt die App herunterzuladen. Fï¿½ï¿½r ein etwas besseres Sicherheitsgef","2,3,6",NA,NA,NA,1,NA,NA,NA,1,NA,NA,35,1,"1,4,5,6",NA,2,4,2,4,"1,6,7","2,3,4,6,7,9,11,12","Erlï¿½ï¿½uterungen zu niedrigem Risiko wï¿½ï¿½ren hi",3,1,3,2,2,3,5,5,6,3,6,5,3,5,3,3,3,4,2,2,6,4,3,5,5,1,4,2,2,2,3,2,NA
"466",604,1,5,1,31,5,5,1,0,0,27,3,3,3,4,0,3,1,2,3,4,3,2,3,1,2,3,3,4,4,4,2,3,3,4,2,2,4,5,5,5,5,5,4,4,2,4,3,4,4,75,4,"7",1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,33,0,"1,2,4,5,6",NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,4,3,5,2,4,4,3,2,4,2,4,2,2,3,1,6,4,4,5,1,1,1,1,1,4,1,NA
"467",573,1,5,2,23,4,2,1,0,1,50,2,3,3,3,0,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,4,2,2,3,4,4,4,4,2,2,4,2,4,4,4,3,70,2,"2",1,1,4,1,1,1,NA,"Weil ich wissen mï¿½ï¿½chte ob ich an die Orten wo ich gehe safe bin. Dass ich nicht im Risiko Gebiet ","1,2",NA,NA,NA,1,NA,NA,NA,1,NA,NA,60,0,"1,5",NA,2,4,4,4,"7","2,6,7,10,12",NA,5,3,4,4,4,5,5,4,4,2,5,4,4,4,1,1,1,1,1,1,6,5,6,5,6,4,4,1,3,4,3,2,NA
