"","Finished","consent","gender","age","residence","education","smartphoneuse","mobileuse_sev","COVID_pos","COVID_pos_others","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_ndays_lockdown","COVID_lost_job","COVID_info_source","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_comply_percent","COVID_comply_pers","attention_check","att_check_bt","bluetooth_uptake1_bt","app_uptake1","is_accceptable1","perc_pop_use_bt","perc_pop_use_mild","reduce_lik_bt","reduce_lik_mild","reduce_lik_sev","return_activ_bt","return_activ_mild","return_activ_sev","reduce_spread_bt","reduce_spread_mild","reduce_spread_severe","ability_mild","ability_bt","decline_participate","decline_part_bt","proportionality","proportionality_bt","sensitivity","sensitivity_bt","risk_of_harm","risk_of_harm_bt","trust_intentions","trust_intentions_bt","trust_respectprivacy","trust_respectpriv_bt","data_security","data_security_bt","ongoing_control","bluetooth_uptake2_bt","change_sunset_bt","app_uptake2","sunset_app","data_local","is_acceptable2","sunset","opt_out","ip_support1","ip_concerned","ip_like","ip_harm_soc","ip_fair","ip_infect_self","ip_support2","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","scenario_type"
"1",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"2",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"3",1,5,1,54,5,1,1,NA,0,1,2,3,4,3,40,0,"1,3,4",10847,50000,30678,50000,12938,24237,21243,26441,15537,2,2,2,NA,NA,1,NA,NA,4,NA,6,NA,NA,6,NA,NA,4,NA,4,NA,2,NA,6,NA,6,NA,6,NA,5,NA,5,NA,5,NA,3,NA,NA,1,NA,NA,NA,NA,NA,5,3,4,3,5,6,5,6,5,3,2,1,1,2,1,1,"mild"
"4",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"5",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"6",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"7",1,5,2,36,2,3,1,NA,0,1,2,3,2,3,15,1,"2,5",14926,50000,21017,50000,9576,21864,NA,50000,13983,80,5,NA,1,1,NA,NA,70,NA,4,NA,NA,5,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,3,NA,4,5,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,3,4,4,2,2,2,3,2,2,"bluetooth"
"8",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"9",1,5,1,18,4,3,NA,1,0,0,2,4,3,4,16,1,"2",4194,7581,3710,11290,2258,484,7419,20000,4355,75,6,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,3,NA,NA,4,NA,NA,3,NA,4,NA,5,NA,4,NA,3,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,1,NA,NA,4,3,4,4,5,5,5,5,5,4,1,2,2,3,2,2,"severe"
"10",1,5,2,19,2,5,NA,1,0,0,5,1,3,2,50,1,"4",10493,50000,12183,45423,6408,27183,44296,50000,28592,34,5,1,NA,NA,NA,0,NA,NA,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,2,NA,2,NA,2,NA,6,NA,1,NA,5,NA,4,NA,6,NA,NA,NA,NA,NA,0,1,0,5,3,4,3,6,2,5,2,7,4,3,3,1,2,4,2,"severe"
"11",1,5,1,24,3,3,1,NA,0,1,1,3,1,1,15,0,"2",1178,9604,4019,19360,4338,2896,19304,21244,10047,90,1,1,NA,NA,1,NA,NA,9,NA,1,NA,NA,3,NA,NA,3,NA,3,NA,6,NA,1,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1,NA,NA,0,0,0,NA,NA,NA,1,1,1,1,1,5,1,1,6,4,1,3,2,2,3,4,"mild"
"12",1,5,2,20,5,2,1,NA,0,1,2,4,2,4,50,0,"1,2,3,4,5",1719,14756,6590,19914,5158,2436,21777,30659,4155,35,4,2,NA,NA,0,NA,NA,20,NA,6,NA,NA,5,NA,NA,1,NA,3,NA,3,NA,2,NA,5,NA,2,NA,5,NA,1,NA,4,NA,6,NA,NA,0,0,1,NA,NA,NA,4,2,4,5,5,1,5,6,6,4,4,4,3,4,4,4,"mild"
"13",1,5,1,35,2,2,1,NA,0,0,1,4,1,4,10,0,"5",9239,18975,8814,31261,18359,25986,37966,44407,18136,70,4,NA,1,0,NA,NA,5,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,1,NA,4,NA,4,NA,5,NA,5,NA,2,NA,1,NA,3,1,0,0,NA,NA,NA,NA,NA,NA,6,1,6,6,3,1,5,4,4,1,2,2,2,1,2,3,"bluetooth"
"14",1,5,1,20,3,3,1,NA,0,1,5,4,4,3,14,0,"2,3",1158,8475,12712,11525,1186,2203,10847,18249,9209,60,3,NA,1,1,NA,NA,80,NA,2,NA,NA,3,NA,NA,4,NA,NA,NA,5,NA,4,NA,4,NA,5,NA,3,NA,4,NA,4,NA,2,5,1,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,3,5,3,2,4,3,2,3,1,1,2,3,"bluetooth"
"15",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"16",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"17",1,5,2,43,4,3,NA,1,0,1,3,3,3,1,20,1,"3",14176,11617,32829,21703,17867,36657,21127,15850,30980,3,4,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,NA,NA,3,NA,NA,6,NA,5,NA,4,NA,6,NA,1,NA,5,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,3,2,6,2,6,3,4,4,5,3,3,3,3,2,2,"severe"
"18",1,5,2,47,1,1,1,NA,0,0,4,4,4,4,20,0,"1,2,5",5206,11024,4313,11589,9041,11495,9907,19619,16423,60,6,NA,2,1,NA,NA,45,NA,4,NA,NA,4,NA,NA,3,NA,NA,NA,3,NA,4,NA,3,NA,4,NA,4,NA,3,NA,4,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,2,4,4,4,4,2,3,2,2,1,2,2,"bluetooth"
"19",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"20",1,5,1,43,6,2,NA,1,0,0,5,3,1,1,0,0,"4,5",2595,4743,7021,20386,4156,5133,9847,30594,6142,70,1,1,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,5,NA,5,NA,4,NA,6,NA,4,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,0,0,1,4,3,5,3,5,1,3,5,3,5,1,2,3,3,4,4,"severe"
"21",1,5,1,22,1,3,1,NA,0,1,2,4,2,3,17,1,"2,3,4,5",27077,35673,21633,31375,21060,13897,30229,42550,24499,40,7,2,NA,NA,1,NA,NA,66,NA,3,NA,NA,5,NA,NA,5,NA,5,NA,5,NA,4,NA,3,NA,2,NA,3,NA,1,NA,2,NA,4,NA,NA,1,NA,NA,NA,NA,NA,1,3,4,2,3,4,5,5,4,4,2,3,1,3,3,2,"mild"
"22",1,5,2,46,5,2,1,NA,0,0,4,4,5,4,25,0,"2,5",2045,50000,50000,50000,20019,23478,29822,50000,30509,75,5,3,NA,NA,1,NA,NA,67,NA,6,NA,NA,4,NA,NA,5,NA,3,NA,4,NA,1,NA,2,NA,1,NA,6,NA,6,NA,3,NA,4,NA,NA,1,NA,NA,NA,NA,NA,5,1,5,2,1,1,1,4,4,4,3,2,3,4,4,2,"mild"
"23",1,5,1,18,2,2,NA,1,0,0,1,2,3,4,15,1,"3",8871,46935,15968,47419,8065,14032,11290,43065,10484,15,2,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,3,NA,4,NA,5,NA,3,NA,3,NA,3,NA,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,3,3,2,3,3,3,3,1,2,1,1,2,1,"severe"
"24",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"25",1,5,1,24,4,1,1,NA,0,0,1,2,3,2,5,0,"3",9492,9322,31695,18644,24746,17288,22542,28305,5763,43,3,2,NA,NA,0,NA,NA,4,NA,2,NA,NA,2,NA,NA,1,NA,2,NA,6,NA,1,NA,4,NA,1,NA,2,NA,1,NA,1,NA,1,NA,NA,0,0,0,NA,NA,NA,2,1,2,1,1,2,2,2,3,1,1,2,1,2,1,2,"mild"
"26",1,5,1,60,6,2,1,NA,0,0,5,4,5,4,0,0,"1,2,5",19357,28679,10643,19214,19357,15929,26429,33000,28071,60,4,NA,1,0,NA,NA,30,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,3,NA,4,NA,2,NA,5,NA,3,NA,1,NA,2,NA,2,1,0,1,NA,NA,NA,NA,NA,NA,1,4,1,4,1,1,1,3,5,3,3,4,4,3,4,4,"bluetooth"
"27",1,5,2,18,7,3,NA,1,0,0,2,3,2,3,30,0,"2,3,5",1168,7076,3339,6248,4540,3173,5727,9215,980,60,6,1,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,4,NA,NA,5,NA,NA,1,NA,4,NA,4,NA,4,NA,3,NA,3,NA,4,NA,1,NA,NA,NA,NA,NA,0,1,1,6,2,5,3,5,1,5,4,5,4,2,3,3,3,3,2,"severe"
"28",1,5,1,22,3,3,1,NA,1,1,NA,3,NA,3,15,0,"1,2,3,4,5",17115,25785,4294,19813,3642,12545,9540,5424,4552,24,6,2,NA,NA,0,NA,NA,43,NA,3,NA,NA,4,NA,NA,4,NA,5,NA,3,NA,5,NA,4,NA,5,NA,4,NA,4,NA,5,NA,3,NA,NA,1,NA,NA,NA,NA,NA,4,3,4,4,4,6,4,5,5,5,2,3,2,2,3,1,"mild"
"29",1,5,2,26,3,5,1,NA,0,0,1,4,2,2,17,0,"3",6196,10375,3547,12392,15418,23611,13112,10663,15850,90,5,4,NA,NA,1,NA,NA,20,NA,3,NA,NA,2,NA,NA,4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,2,NA,4,NA,4,NA,3,NA,NA,1,NA,NA,NA,NA,NA,3,5,4,5,5,6,4,5,5,6,2,2,3,2,3,2,"mild"
"30",1,5,1,38,7,3,1,NA,0,0,5,3,3,4,7,1,"2",13200,11566,14496,24995,22198,14559,17096,45444,14408,79,1,3,NA,NA,1,NA,NA,90,NA,5,NA,NA,5,NA,NA,5,NA,5,NA,2,NA,6,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,1,NA,NA,NA,NA,NA,5,4,5,5,5,6,5,6,6,6,1,1,1,1,1,1,"mild"
"31",1,5,2,23,2,3,NA,1,0,1,3,3,3,3,24,1,"1,2,3,4,5",6590,10029,7450,7736,5587,4871,7307,7307,7163,50,5,2,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,1,NA,NA,4,4,4,4,3,5,4,4,4,4,2,2,2,2,2,2,"severe"
"32",1,5,1,43,6,3,NA,1,1,1,NA,4,NA,4,43,1,"4,5",NA,1338,30915,7676,NA,NA,4859,986,915,20,3,3,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,2,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,5,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,2,5,6,5,6,7,6,2,1,1,1,2,2,"severe"
"33",1,5,2,27,3,3,1,NA,0,0,2,3,2,2,25,0,"2,3",5537,14915,5819,8757,3842,5085,6695,8842,7034,20,5,2,NA,NA,0,NA,NA,40,NA,3,NA,NA,3,NA,NA,3,NA,3,NA,4,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,NA,0,0,0,NA,NA,NA,3,2,3,3,3,4,3,4,4,4,2,2,2,2,2,2,"mild"
"34",1,5,2,36,2,1,NA,1,0,0,2,3,2,3,0,0,"5",1752,4493,1356,9661,1186,2091,5593,12008,568,70,5,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,2,NA,4,NA,5,NA,4,NA,4,NA,3,NA,5,NA,5,NA,NA,NA,NA,NA,1,NA,NA,5,3,4,3,3,1,4,5,4,3,2,2,2,3,3,2,"severe"
"35",1,5,1,51,7,2,1,NA,0,1,2,3,1,1,1,0,"4",23837,38905,23853,43372,26225,15246,42363,43804,29292,70,4,3,NA,NA,0,NA,NA,30,NA,4,NA,NA,4,NA,NA,4,NA,4,NA,4,NA,2,NA,3,NA,3,NA,4,NA,2,NA,3,NA,3,NA,NA,0,0,0,NA,NA,NA,3,2,3,2,3,4,3,4,3,3,1,2,2,2,3,2,"mild"
"36",1,5,2,25,3,2,1,NA,0,0,2,4,3,3,50,0,"1,2,3,4,5",31887,50000,22797,35975,27161,24619,39873,50000,39364,40,5,1,NA,NA,0,NA,NA,50,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,3,NA,2,NA,6,NA,6,NA,1,NA,1,NA,1,NA,1,NA,NA,0,0,0,NA,NA,NA,3,3,1,3,3,1,1,3,3,4,2,4,3,3,4,4,"mild"
"37",1,5,2,23,4,5,1,NA,0,0,2,4,2,2,12,0,"2,3,5,6",1691,3093,5365,13397,2730,1760,11703,10574,5433,40,4,1,NA,NA,1,NA,NA,30,NA,4,NA,NA,5,NA,NA,5,NA,6,NA,6,NA,6,NA,6,NA,4,NA,5,NA,4,NA,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA,6,1,6,4,3,4,6,6,6,4,2,1,3,2,1,1,"mild"
"38",1,5,2,52,5,2,1,NA,0,0,1,3,1,1,0,0,"1,5",8226,20544,2161,18156,10375,8646,17147,23889,10646,87,5,NA,1,1,NA,NA,51,NA,5,NA,NA,6,NA,NA,5,NA,NA,NA,5,NA,4,NA,3,NA,5,NA,3,NA,4,NA,4,NA,4,5,1,NA,NA,NA,NA,NA,NA,NA,6,1,5,1,3,6,5,4,5,6,3,2,2,4,2,2,"bluetooth"
"39",1,5,2,22,2,3,NA,1,0,0,2,4,4,5,20,0,"1,2,4,5",1452,2903,3710,4032,1774,968,4839,7581,2258,60,5,1,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,1,NA,NA,3,NA,NA,2,NA,2,NA,5,NA,4,NA,2,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,0,1,1,1,4,4,5,1,2,1,6,6,2,2,3,3,3,4,1,"severe"
"40",1,5,1,30,7,2,1,NA,0,0,2,3,2,4,14,1,"1,2,5",6304,34241,2722,40115,2579,4441,12894,38682,7450,50,5,1,NA,NA,0,NA,NA,40,NA,2,NA,NA,4,NA,NA,4,NA,4,NA,3,NA,5,NA,6,NA,5,NA,2,NA,4,NA,2,NA,1,NA,NA,0,1,1,NA,NA,NA,3,2,3,3,4,1,2,4,6,4,1,2,3,3,4,3,"mild"
"41",1,5,2,53,3,2,1,NA,0,1,2,3,3,4,10,0,"3,5",3849,15418,8296,19967,12474,16179,18444,38987,25587,70,5,NA,1,1,NA,NA,70,NA,4,NA,NA,4,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,5,NA,4,NA,4,NA,4,NA,4,5,1,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,5,2,4,3,6,4,2,2,2,2,2,2,"bluetooth"
"42",1,5,2,55,3,5,NA,1,0,1,3,3,3,3,30,1,"1,2,5",2839,3632,3444,12061,1513,1139,11946,22437,4222,67,8,1,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,2,NA,1,NA,5,NA,5,NA,1,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,0,0,1,2,3,3,6,2,1,1,6,6,7,4,3,4,4,3,4,"severe"
"43",1,5,1,18,1,2,1,NA,0,0,1,4,1,3,30,0,"5",1719,38682,21060,35100,10029,12178,11748,40688,7163,30,8,NA,1,1,NA,NA,60,NA,3,NA,NA,3,NA,NA,5,NA,NA,NA,2,NA,4,NA,1,NA,5,NA,4,NA,3,NA,2,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,3,6,3,4,3,2,2,3,2,2,3,1,"bluetooth"
"44",1,5,1,49,6,3,1,NA,0,0,5,4,4,5,50,0,"1,3,4,5",2615,3123,3123,6287,64,2219,4770,12445,4639,90,8,NA,1,1,NA,NA,75,NA,5,NA,NA,3,NA,NA,6,NA,NA,NA,5,NA,6,NA,5,NA,6,NA,1,NA,5,NA,5,NA,5,6,1,NA,NA,NA,NA,NA,NA,NA,3,4,1,3,1,1,2,3,7,4,4,1,1,3,4,2,"bluetooth"
"45",1,5,2,18,5,1,NA,1,0,0,4,3,2,5,15,1,"2,4,5",32581,30323,4516,10645,12742,18548,9516,50000,30323,46,5,1,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,3,NA,3,NA,4,NA,3,NA,3,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,0,0,1,3,3,3,2,3,4,2,3,3,3,2,2,3,4,4,2,"severe"
"46",1,5,2,31,5,1,1,NA,0,1,2,3,2,5,0,0,"2,4,5",8635,24404,14643,44602,17013,28692,36534,47310,12358,70,4,1,NA,NA,0,NA,NA,40,NA,3,NA,NA,5,NA,NA,3,NA,4,NA,6,NA,3,NA,4,NA,1,NA,1,NA,2,NA,5,NA,3,NA,NA,0,0,1,NA,NA,NA,4,1,5,1,1,2,6,7,4,4,1,3,4,4,3,2,"mild"
"47",1,5,1,69,2,5,NA,1,0,1,3,3,2,3,0,0,"1,4,5,6",2887,4859,4014,21056,2394,1408,19648,33592,10423,95,5,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,1,NA,6,NA,1,NA,1,NA,6,NA,5,NA,5,NA,2,NA,NA,NA,NA,NA,1,NA,NA,3,3,2,5,2,1,2,2,7,4,3,2,2,3,2,2,"severe"
"48",1,5,1,26,5,2,1,NA,0,0,2,3,2,2,20,0,"2",7655,10056,3588,20141,4068,3927,26130,22712,11017,20,3,3,NA,NA,1,NA,NA,40,NA,2,NA,NA,3,NA,NA,3,NA,4,NA,3,NA,3,NA,4,NA,3,NA,4,NA,5,NA,4,NA,3,NA,NA,1,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,4,4,4,2,1,3,1,3,3,"mild"
"49",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"50",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"51",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"52",1,5,1,21,3,3,NA,1,0,0,1,1,1,1,0,0,"2",7163,8596,5301,4298,1003,1003,1003,4441,1003,4,3,3,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,4,NA,NA,4,NA,NA,2,NA,5,NA,4,NA,6,NA,5,NA,3,NA,5,NA,6,NA,NA,NA,NA,NA,1,NA,NA,3,4,3,6,5,4,6,3,6,5,4,4,2,2,3,3,"severe"
"53",1,5,1,34,2,5,1,NA,0,0,1,4,3,4,0,0,"1,4,5",847,5840,2458,5819,678,621,226,7684,330,80,5,NA,1,1,NA,NA,20,NA,3,NA,NA,3,NA,NA,2,NA,NA,NA,3,NA,4,NA,2,NA,2,NA,2,NA,2,NA,3,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,4,2,4,4,4,2,3,2,2,2,2,"bluetooth"
"54",1,5,1,38,1,2,1,NA,0,0,1,2,1,4,0,0,"2",6452,4677,8387,23548,1129,9032,29032,50000,22903,99,6,NA,2,1,NA,NA,40,NA,3,NA,NA,4,NA,NA,5,NA,NA,NA,3,NA,3,NA,4,NA,4,NA,5,NA,4,NA,4,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,4,5,4,6,6,6,2,2,3,2,2,2,"bluetooth"
"55",1,5,1,31,4,3,NA,1,1,1,NA,1,NA,2,15,1,"3",21075,28833,36076,42721,50000,23825,50000,27445,39207,10,4,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,4,NA,NA,3,NA,NA,3,NA,4,NA,5,NA,4,NA,2,NA,3,NA,5,NA,2,NA,NA,NA,NA,NA,1,NA,NA,4,5,5,5,4,6,5,3,4,5,2,2,3,2,1,3,"severe"
"56",1,5,1,22,2,1,1,NA,1,1,NA,3,NA,3,6,1,"1,2,3",5020,6007,8350,10399,7482,9611,10678,10568,10553,15,8,1,NA,NA,1,NA,NA,16,NA,4,NA,NA,3,NA,NA,3,NA,5,NA,5,NA,3,NA,4,NA,3,NA,3,NA,3,NA,3,NA,3,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,3,3,4,3,6,6,6,1,1,1,1,1,1,"mild"
"57",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"58",1,5,1,20,1,3,1,NA,1,1,NA,3,NA,5,20,0,"1,2,3,4,5",13922,50000,50000,50000,50000,36275,50000,50000,50000,60,8,3,NA,NA,1,NA,NA,50,NA,5,NA,NA,4,NA,NA,6,NA,5,NA,2,NA,4,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,1,NA,NA,NA,NA,NA,5,4,5,5,5,6,5,6,5,6,1,2,1,1,1,2,"mild"
