"","Finished","consent","gender","age","residence","education","smartphoneuse","mobileuse_sev","COVID_pos","COVID_pos_others","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_ndays_lockdown","COVID_lost_job","COVID_info_source","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_comply_percent","COVID_comply_pers","attention_check","att_check_bt","bluetooth_uptake1_bt","app_uptake1","is_accceptable1","perc_pop_use_bt","perc_pop_use_mild","reduce_lik_bt","reduce_lik_mild","reduce_lik_sev","return_activ_bt","return_activ_mild","return_activ_sev","reduce_spread_bt","reduce_spread_mild","reduce_spread_severe","ability_mild","ability_bt","decline_participate","decline_part_bt","proportionality","proportionality_bt","sensitivity","sensitivity_bt","risk_of_harm","risk_of_harm_bt","trust_intentions","trust_intentions_bt","trust_respectprivacy","trust_respectpriv_bt","data_security","data_security_bt","ongoing_control","bluetooth_uptake2_bt","change_sunset_bt","app_uptake2","sunset_app","data_local","is_acceptable2","sunset","opt_out","ip_support1","ip_concerned","ip_like","ip_harm_soc","ip_fair","ip_infect_self","ip_support2","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","scenario_type"
"419",1,5,2,31,3,5,1,NA,0,0,2,4,2,4,1,0,"2,4,5",1126,6964,7492,27759,4406,6742,18251,34654,18196,70,5,1,NA,NA,1,NA,NA,40,NA,3,NA,NA,3,NA,NA,4,NA,5,NA,4,NA,4,NA,3,NA,4,NA,3,NA,2,NA,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,5,2,6,4,5,5,2,2,2,2,2,2,2,"mild"
"420",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"421",1,5,1,21,4,5,0,NA,0,0,2,4,1,2,50,0,"4",293,8784,50000,24738,39824,36775,32469,14199,35225,6,1,1,NA,NA,0,NA,NA,8,NA,3,NA,NA,1,NA,NA,2,NA,2,NA,5,NA,1,NA,2,NA,3,NA,1,NA,3,NA,5,NA,6,NA,NA,1,NA,NA,NA,NA,NA,2,3,2,2,1,5,4,2,2,2,4,4,4,4,4,4,"mild"
"422",1,5,1,27,5,5,1,NA,0,1,1,4,1,4,0,0,"1,4,5",4839,50000,3710,25323,968,3387,19516,31129,15323,95,5,NA,1,1,NA,NA,50,NA,5,NA,NA,5,NA,NA,6,NA,NA,NA,2,NA,5,NA,2,NA,5,NA,4,NA,5,NA,5,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,5,4,3,2,5,7,6,6,2,6,1,1,2,1,1,1,"bluetooth"
"423",1,5,1,22,1,3,NA,1,0,1,2,3,4,5,30,0,"2,5",5000,10323,5000,15484,4194,4032,7097,20000,5000,90,7,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,6,NA,NA,3,NA,4,NA,5,NA,2,NA,5,NA,3,NA,5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,5,1,4,3,4,1,5,3,4,7,1,2,2,2,1,1,"severe"
"424",1,5,1,19,2,3,1,NA,0,0,2,2,2,4,30,0,"1,2,5",16266,18814,5085,8220,11695,7458,6552,23220,10000,80,4,NA,3,0,NA,NA,30,NA,4,NA,NA,5,NA,NA,2,NA,NA,NA,3,NA,2,NA,4,NA,3,NA,1,NA,6,NA,4,NA,5,2,0,1,NA,NA,NA,NA,NA,NA,6,2,4,5,1,5,2,5,2,6,3,1,4,1,3,4,"bluetooth"
"425",1,5,2,25,5,5,1,NA,0,1,2,4,2,5,24,0,"1,2,3,4,5",806,15968,3065,8226,5323,6452,7097,11452,4839,70,6,2,NA,NA,1,NA,NA,50,NA,5,NA,NA,4,NA,NA,5,NA,4,NA,3,NA,4,NA,5,NA,3,NA,4,NA,4,NA,4,NA,4,NA,NA,1,NA,NA,NA,NA,NA,4,3,4,4,3,4,3,4,4,5,2,2,3,3,3,2,"mild"
"426",1,5,1,64,1,5,1,NA,1,1,NA,4,NA,4,21,1,"3",4839,50000,13548,16613,4516,9194,11935,23710,7258,90,9,NA,4,1,NA,NA,80,NA,5,NA,NA,5,NA,NA,5,NA,NA,NA,3,NA,3,NA,3,NA,5,NA,3,NA,5,NA,6,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,3,1,6,5,2,7,3,1,5,6,1,2,2,4,2,2,"bluetooth"
"427",1,5,1,34,5,5,1,NA,0,1,2,4,2,2,0,0,"1,2",7247,23616,23135,39666,23026,21023,19136,26354,26758,20,5,1,NA,NA,0,NA,NA,10,NA,2,NA,NA,2,NA,NA,2,NA,2,NA,5,NA,2,NA,6,NA,6,NA,1,NA,1,NA,1,NA,1,NA,NA,0,0,0,NA,NA,NA,1,1,3,6,3,2,3,2,2,2,4,4,4,4,4,4,"mild"
"428",1,5,2,33,2,5,1,NA,1,1,NA,3,NA,5,46,1,"1,3,4",22034,44746,30339,35763,37458,43729,47966,45932,34053,3,1,NA,4,1,NA,NA,3,NA,6,NA,NA,6,NA,NA,6,NA,NA,NA,5,NA,2,NA,4,NA,5,NA,4,NA,4,NA,6,NA,6,3,1,NA,NA,NA,NA,NA,NA,NA,5,3,4,4,5,6,4,5,5,6,1,2,1,1,3,1,"bluetooth"
